Buyer Postal Code,Buyer Currency,colonia,municipio,estado,direccion
95300,MXN,Fidel Herrera Beltrán,Tres Valles,Veracruz de Ignacio de la Llave,"Fidel Herrera Beltrán, Tres Valles, Veracruz de Ignacio de la Llave"
34500,MXN,Canelas,Canelas,Durango,"Canelas, Canelas, Durango"
34500,MXN,Canelas,Canelas,Durango,"Canelas, Canelas, Durango"
42110,MXN,Santiago Tlapacoya Centro,Pachuca de Soto,Hidalgo,"Santiago Tlapacoya Centro, Pachuca de Soto, Hidalgo"
42110,MXN,Santiago Tlapacoya Centro,Pachuca de Soto,Hidalgo,"Santiago Tlapacoya Centro, Pachuca de Soto, Hidalgo"
49340,MXN,Atacco,Tapalpa,Jalisco,"Atacco, Tapalpa, Jalisco"
49340,MXN,Atacco,Tapalpa,Jalisco,"Atacco, Tapalpa, Jalisco"
43600,MXN,Tulancingo Centro,Tulancingo de Bravo,Hidalgo,"Tulancingo Centro, Tulancingo de Bravo, Hidalgo"
43600,MXN,Tulancingo Centro,Tulancingo de Bravo,Hidalgo,"Tulancingo Centro, Tulancingo de Bravo, Hidalgo"
77012,MXN,Venustiano Carranza (Casitas),Othón P. Blanco,Quintana Roo,"Venustiano Carranza (Casitas), Othón P. Blanco, Quintana Roo"
77012,MXN,Venustiano Carranza (Casitas),Othón P. Blanco,Quintana Roo,"Venustiano Carranza (Casitas), Othón P. Blanco, Quintana Roo"
77012,MXN,Venustiano Carranza (Casitas),Othón P. Blanco,Quintana Roo,"Venustiano Carranza (Casitas), Othón P. Blanco, Quintana Roo"
77012,MXN,Venustiano Carranza (Casitas),Othón P. Blanco,Quintana Roo,"Venustiano Carranza (Casitas), Othón P. Blanco, Quintana Roo"
52500,MXN,Libertad,Atizapán,México,"Libertad, Atizapán, México"
52500,MXN,Libertad,Atizapán,México,"Libertad, Atizapán, México"
97144,MXN,Emiliano Zapata Ote,Mérida,Yucatán,"Emiliano Zapata Ote, Mérida, Yucatán"
97144,MXN,Emiliano Zapata Ote,Mérida,Yucatán,"Emiliano Zapata Ote, Mérida, Yucatán"
29950,MXN,Primero de Mayo,Ocosingo,Chiapas,"Primero de Mayo, Ocosingo, Chiapas"
29950,MXN,Primero de Mayo,Ocosingo,Chiapas,"Primero de Mayo, Ocosingo, Chiapas"
29950,MXN,Primero de Mayo,Ocosingo,Chiapas,"Primero de Mayo, Ocosingo, Chiapas"
29950,MXN,Primero de Mayo,Ocosingo,Chiapas,"Primero de Mayo, Ocosingo, Chiapas"
7270,MXN,Residencial Acueducto de Guadalupe,Gustavo A. Madero,Ciudad de México,"Residencial Acueducto de Guadalupe, Gustavo A. Madero, Ciudad de México"
7270,MXN,Residencial Acueducto de Guadalupe,Gustavo A. Madero,Ciudad de México,"Residencial Acueducto de Guadalupe, Gustavo A. Madero, Ciudad de México"
7270,MXN,Residencial Acueducto de Guadalupe,Gustavo A. Madero,Ciudad de México,"Residencial Acueducto de Guadalupe, Gustavo A. Madero, Ciudad de México"
7270,MXN,Residencial Acueducto de Guadalupe,Gustavo A. Madero,Ciudad de México,"Residencial Acueducto de Guadalupe, Gustavo A. Madero, Ciudad de México"
34500,MXN,Canelas,Canelas,Durango,"Canelas, Canelas, Durango"
34500,MXN,Canelas,Canelas,Durango,"Canelas, Canelas, Durango"
14735,MXN,Lomas de Tepemecatl,Tlalpan,Ciudad de México,"Lomas de Tepemecatl, Tlalpan, Ciudad de México"
14735,MXN,Lomas de Tepemecatl,Tlalpan,Ciudad de México,"Lomas de Tepemecatl, Tlalpan, Ciudad de México"
7187,MXN,Vista Hermosa,Gustavo A. Madero,Ciudad de México,"Vista Hermosa, Gustavo A. Madero, Ciudad de México"
